gene_name,Asn_1,Asn_2,Asn_3,Nitrate_1,Nitrate_2,Nitrate_3,Ni_N1,Ni_N2,Ni_N3,Ni_SM1,Ni_SM2,Ni_SM3
Phatr3_J17166,1337,1153,1745,1296,1262,1015,1530,1336,1997,1316,1502,2956
Phatr3_J31442,267,302,381,268,353,164,514,312,468,1444,1310,3981
Phatr3_J42451,77,96,256,34,43,0,261,54,99,286,311,938
Phatr3_J42452,485,565,544,174,189,22,276,205,352,255,241,502
Phatr3_EG02462,6417,4759,7993,5275,5527,4876,6402,5400,8619,3341,4085,7680
Phatr3_EG02453,678,638,829,582,716,429,775,607,1005,705,861,1304
Phatr3_J31447,1169,1087,1846,1181,1223,1392,1389,984,1750,1268,1485,3256
Phatr3_J17172,565,1314,872,242,415,178,646,283,532,707,807,1596
Phatr3_EG02409,1921,1633,2566,1480,1859,1159,2023,1719,2507,1329,1630,3098
Phatr3_J9359,715,783,816,650,1140,749,1037,844,1338,385,438,792
Phatr3_J42457,758,810,900,1313,1809,999,1833,1321,1877,3210,3551,10897
Phatr3_J31453,117,42,142,181,181,184,150,174,192,52,100,89
Phatr3_J42458,1969,2223,2383,2068,3301,506,3361,2805,4608,665,857,1227
Phatr3_J42459,689,498,878,552,562,706,720,691,975,684,755,1896
Phatr3_J8760,497,497,742,353,416,575,655,485,626,3438,3503,10122
Phatr3_J42461,328,230,361,176,222,187,259,247,289,504,590,882
Phatr3_J31458,272,233,359,201,207,161,313,236,387,211,264,332
Phatr3_EG01752,623,494,712,291,490,183,548,457,575,334,391,628
Phatr3_J53933,1818,1042,2020,1276,1359,1168,1350,1462,2007,848,994,2594
Phatr3_J42464,875,816,1166,291,338,147,351,409,498,511,514,1823
Phatr3_J17184,962,750,1254,692,826,583,837,900,1176,673,714,1331
Phatr3_J42466,406,321,476,257,366,524,431,333,478,651,725,1307
Phatr3_EG02454,5448,3762,6241,3927,3909,3511,4795,3743,6139,12015,11795,33973
Phatr3_J31465,771,928,877,344,659,155,698,663,1051,489,516,778
Phatr3_EG02455,34,22,22,44,45,45,88,29,41,322,305,474
Phatr3_EG02451,496,377,766,516,516,675,694,419,586,258,313,689
Phatr3_J8934,515,459,537,279,366,461,561,461,665,698,862,1257
Phatr3_J31469,366,279,548,359,264,282,322,346,408,224,284,797
Phatr3_EG02456,3731,3735,4766,3270,4180,2194,4176,4038,6017,2356,2749,4338
Phatr3_J42473,381,353,590,304,423,247,409,374,628,446,609,1125
Phatr3_J42474,399,207,471,212,139,37,109,183,275,2870,2798,8714
Phatr3_J17198,3076,3294,3472,1569,2853,318,2772,2727,4296,1520,1846,3742
Phatr3_J31474,7544,4382,8013,3958,4059,2095,4084,5601,8075,2078,2020,2824
Phatr3_EG02407,4099,2704,6001,3462,3221,2068,3346,3818,5824,3088,3495,9967
Phatr3_J42479,351,852,611,266,553,529,892,288,509,1684,1909,2964
Phatr3_J42481,724,675,1186,711,768,556,788,626,868,1065,1163,3197
Phatr3_J17199,3278,3348,3709,1556,2070,1818,2318,2180,3673,10027,10644,24497
Phatr3_J42483,2834,2250,4076,2325,2384,1659,2542,3256,4437,808,1001,1667
Phatr3_J42484,783,613,966,658,764,616,820,718,1066,829,934,1660
Phatr3_J53935,3942,2720,3849,4765,8398,2978,7189,5366,9230,885,1308,1828
Phatr3_J9462,5231,4266,6202,7306,8083,6443,9433,7236,10677,8971,10310,21238
Phatr3_J42487,1536,1828,2320,1282,1750,1164,1921,1206,1814,871,1215,1758
Phatr3_J31486,360,253,604,390,289,287,288,375,437,1211,1393,5339
Phatr3_J42488,1430,1480,1757,1030,1363,1592,1937,1238,1715,6558,7028,16148
Phatr3_J9007,499,340,637,446,480,459,479,486,695,291,277,500
Phatr3_J9033,1370,1100,1926,1180,1234,1252,1269,1269,1902,1709,1973,3845
Phatr3_J3311,854,839,729,468,811,572,825,528,933,1813,1847,5221
Phatr3_J9319,1441,981,1951,850,1004,642,1054,969,1400,791,939,1762
Phatr3_J31492,983,553,980,496,427,471,466,646,1081,660,775,1529
Phatr3_J17215,561,507,544,466,695,296,588,527,858,513,469,970
Phatr3_J31494,312,289,307,282,346,25,217,282,472,110,144,506
Phatr3_J42494,3390,3935,3314,2049,7528,2374,6507,3936,7128,717,819,988
Phatr3_EG01836,0,1,6,2,6,0,1,0,0,0,1,0
Phatr3_J42495,1174,1230,1465,393,508,65,616,566,908,369,395,995
Phatr3_J42496,1083,872,1341,699,925,668,947,767,1382,399,615,912
Phatr3_J42497,3813,2042,4842,2700,2548,1832,2959,2697,3405,1573,1638,3798
